Date,Province,Region,Last Update,Confirmed,Deaths,Recovered
2/5/2020 12:20,"Toronto, ON",Canada,2/4/2020 0:13,2,0,0
2/5/2020 12:20,,Italy,1/31/2020 8:15,2,0,0
2/5/2020 12:20,,Philippines,2/2/2020 3:33,2,1,0
2/5/2020 12:20,,Russia,1/31/2020 16:13,2,0,0
2/5/2020 12:20,,UK,2/1/2020 1:52,2,0,0
2/5/2020 12:20,"Chicago, IL",US,2/1/2020 19:43,2,0,0
2/5/2020 12:20,"San Benito, CA",US,2/3/2020 3:53,2,0,0
2/5/2020 12:20,"Santa Clara, CA",US,2/3/2020 0:43,2,0,0
2/5/2020 12:20,,Belgium,2/4/2020 15:43,1,0,0
2/5/2020 12:20,,Cambodia,1/31/2020 8:15,1,0,0
2/5/2020 12:20,British Columbia,Canada,2/1/2020 18:12,1,0,0
2/5/2020 12:20,"London, ON",Canada,2/4/2020 0:03,1,0,0
2/5/2020 12:20,,Finland,1/31/2020 8:15,1,0,0
2/5/2020 12:20,Tibet,Mainland China,2/1/2020 1:52,1,0,0
2/5/2020 12:20,,Nepal,1/31/2020 8:15,1,0,0
2/5/2020 12:20,,Spain,2/1/2020 23:43,1,0,0
2/5/2020 12:20,,Sri Lanka,1/31/2020 8:15,1,0,0
2/5/2020 12:20,,Sweden,2/1/2020 2:13,1,0,0
2/5/2020 12:20,"Boston, MA",US,2/1/2020 19:43,1,0,0
2/5/2020 12:20,"Los Angeles, CA",US,2/1/2020 19:53,1,0,0
2/5/2020 12:20,"Orange, CA",US,2/1/2020 19:53,1,0,0
2/5/2020 12:20,"Seattle, WA",US,2/1/2020 19:43,1,0,0
2/5/2020 12:20,"Tempe, AZ",US,2/1/2020 19:43,1,0,0
2/4/2020 22:00,Hubei,Mainland China,2/4/2020 23:43,16678,479,522
2/4/2020 22:00,Zhejiang,Mainland China,2/5/2020 1:33,895,0,63
2/4/2020 22:00,Guangdong,Mainland China,2/5/2020 2:03,870,0,32
2/4/2020 22:00,Henan,Mainland China,2/5/2020 1:13,764,2,41
2/4/2020 22:00,Hunan,Mainland China,2/5/2020 1:43,661,0,35
2/4/2020 22:00,Jiangxi,Mainland China,2/5/2020 1:33,548,0,27
2/4/2020 22:00,Anhui,Mainland China,2/5/2020 1:13,530,0,20
2/4/2020 22:00,Chongqing,Mainland China,2/5/2020 0:13,366,2,14
2/4/2020 22:00,Jiangsu,Mainland China,2/5/2020 2:43,341,0,13
2/4/2020 22:00,Sichuan,Mainland China,2/5/2020 0:53,301,1,23
2/4/2020 22:00,Shandong,Mainland China,2/5/2020 1:03,298,0,13
2/4/2020 22:00,Shanghai,Mainland China,2/5/2020 0:23,233,1,12
2/4/2020 22:00,Beijing,Mainland China,2/4/2020 8:33,228,1,23
2/4/2020 22:00,Fujian,Mainland China,2/4/2020 12:13,194,0,3
2/4/2020 22:00,Heilongjiang,Mainland China,2/5/2020 1:23,190,2,4
2/4/2020 22:00,Shaanxi,Mainland China,2/5/2020 2:43,165,0,2
2/4/2020 22:00,Guangxi,Mainland China,2/5/2020 0:43,150,0,10
2/4/2020 22:00,Hebei,Mainland China,2/5/2020 2:53,135,1,4
2/4/2020 22:00,Yunnan,Mainland China,2/4/2020 23:23,122,0,5
2/4/2020 22:00,Hainan,Mainland China,2/5/2020 2:53,91,1,4
2/4/2020 22:00,Liaoning,Mainland China,2/4/2020 14:13,81,0,2
2/4/2020 22:00,Shanxi,Mainland China,2/4/2020 23:23,81,0,4
2/4/2020 22:00,Tianjin,Mainland China,2/4/2020 13:33,67,0,2
2/4/2020 22:00,Guizhou,Mainland China,2/5/2020 1:23,64,0,5
2/4/2020 22:00,Gansu,Mainland China,2/4/2020 15:43,57,0,4
2/4/2020 22:00,Jilin,Mainland China,2/5/2020 0:43,54,0,1
2/4/2020 22:00,Inner Mongolia,Mainland China,2/5/2020 1:53,42,0,1
2/4/2020 22:00,Ningxia,Mainland China,2/4/2020 2:13,34,0,1
2/4/2020 22:00,Xinjiang,Mainland China,2/5/2020 2:03,32,0,0
2/4/2020 22:00,,Thailand,2/4/2020 15:33,25,0,5
2/4/2020 22:00,,Singapore,2/4/2020 15:33,24,0,0
2/4/2020 22:00,,Japan,2/4/2020 16:43,22,0,1
2/4/2020 22:00,Hong Kong,Hong Kong,2/5/2020 2:33,18,1,0
2/4/2020 22:00,Qinghai,Mainland China,2/5/2020 1:23,17,0,0
2/4/2020 22:00,,South Korea,2/4/2020 15:33,16,0,0
2/4/2020 22:00,,Germany,2/3/2020 20:53,12,0,0
2/4/2020 22:00,Taiwan,Taiwan,2/4/2020 14:53,11,0,0
2/4/2020 22:00,Macau,Macau,2/4/2020 4:43,10,0,0
2/4/2020 22:00,,Malaysia,2/4/2020 7:33,10,0,0
2/4/2020 22:00,,Vietnam,2/3/2020 21:43,8,0,1
2/4/2020 22:00,,France,2/1/2020 1:52,6,0,0
2/4/2020 22:00,,United Arab Emirates,2/2/2020 5:43,5,0,0
2/4/2020 22:00,New South Wales,Australia,2/1/2020 18:12,4,0,2
2/4/2020 22:00,Victoria,Australia,2/1/2020 18:12,4,0,0
2/4/2020 22:00,Queensland,Australia,2/4/2020 16:53,3,0,0
2/4/2020 22:00,,India,2/3/2020 21:43,3,0,0
2/4/2020 22:00,South Australia,Australia,2/2/2020 22:33,2,0,0
2/4/2020 22:00,"Toronto, ON",Canada,2/4/2020 0:13,2,0,0
2/4/2020 22:00,,Italy,1/31/2020 8:15,2,0,0
2/4/2020 22:00,,Philippines,2/2/2020 3:33,2,1,0
2/4/2020 22:00,,Russia,1/31/2020 16:13,2,0,0
